question,option1,option2,option3,option4,correctAnswer,difficulty
What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo,Easy
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Mars,Easy
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo,Leonardo da Vinci,Medium
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Medium
Which element has the chemical symbol 'O'?,Oxygen,Gold,Silver,Iron,Oxygen,Easy
What is the largest mammal in the world?,Blue Whale,African Elephant,Giraffe,Hippopotamus,Blue Whale,Medium
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,Hard
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra,Medium
Which country is home to the kangaroo?,Australia,New Zealand,South Africa,Brazil,Australia,Easy
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Granite,Diamond,Hard
